,b0,b1,b2,b3,dt,stationId,w
359,82,81,77,68,2017-06-17 17:15:29.475,480049000c51343334363138,0
360,82,80,74,68,2017-06-17 21:25:28.980,480049000c51343334363138,0
361,82,79,77,70,2017-06-18 01:35:26.356,480049000c51343334363138,0
362,78,77,76,69,2017-06-18 05:45:25.169,480049000c51343334363138,0
363,79,78,76,70,2017-06-18 09:55:23.762,480049000c51343334363138,0
364,83,79,77,69,2017-06-18 14:10:33.125,480049000c51343334363138,0
365,83,82,78,68,2017-06-18 18:25:35.764,480049000c51343334363138,0
366,78,77,75,68,2017-06-18 22:35:33.609,480049000c51343334363138,0
367,83,78,76,69,2017-06-19 02:45:31.220,480049000c51343334363138,0
368,79,78,76,69,2017-06-19 06:55:32.431,480049000c51343334363138,0
369,81,78,76,69,2017-06-19 11:05:31.381,480049000c51343334363138,0
370,85,79,77,69,2017-06-19 15:15:28.671,480049000c51343334363138,0
371,78,77,75,68,2017-06-19 19:25:28.347,480049000c51343334363138,0
372,79,78,76,69,2017-06-19 23:35:25.678,480049000c51343334363138,0
373,80,78,76,69,2017-06-20 03:45:25.941,480049000c51343334363138,0
